name,ratings,no_of_ratings,discount_price,actual_price
Shri Kant Art Cute Owls Wall and Door Hanging for Home| Office| Living Room| Gift| Wall Decoration,3.6,16,188,555
ZEXICA® Original Agarbatti for Pooja Fragnance Incense Stick For Puja Mediatation And Negative Energy Remover 400gm|Agarba...,3.6,473,299,999
Indianara 4 Piece Set of Framed Wall Hanging Motivational Office Decor Art Prints 8.7 Inch X 8.7 Inch Without Glass(multic...,4.3,2223,349,1600
"TIED RIBBONS Artificial Lavender Flower Plant with Pot (Violet, 22.8 cm x 10.1 cm) Home Décor Items for Living Room Balcon...",3.7,21,499,1199
fizzytech Snowflake String Lights 4 Meter 25 LED Lights for Indoor Outdoor Diwali Light for Decoration Operated Waterproof...,4,3479,299,599
Art Street Decorative Wall Mirror for Home and Bathroom Brown Color Small Size (12 x 14 inch),3.8,186,569,1000
"SDG Frameless Rectangular Wall Mount Mirror Silver, Size : 18 Inch X 24 Inch, Unframed",4.2,267,1399,2000
Mumbai Doodle Kitchen Fridge Magnet- Pack of 1 Fridge Magnet,5,1,142,399
"Essancia Peppermint Essential Oil For Hair Regrowth, Skin, Face, Cold, Congestion, Steam Inhaler, Insects, Rats Repellent,...",4.2,104,179,499
"SAF 7 Running Horses Vastu UV Textured Wall Painting for Home Decoration, Office, Gym, College Wall decoration Painting 12...",4.5,6,279,999
Apka Mart The Online Shop Ganesh Wall Hanging Metal (Copper |18 Inch) Religious Decor for Home Entrance | Pooja Ghar |Gift...,4.7,67,1499,2500
Shreeji Relax 240 Citronella Incense Sticks Mosquito Repellent Agarbatti - Herbal and Natural (Pack of 2 Boxes x 12 Pouche...,4.3,9,349,360
"Devdarshan Special Dhoop Large, 20 Sticks in Each Unit (Pack of 24 Units)",4.5,276,590,720
"Saumic Craft Set Of Five Wall Painting With Frame For Home Decoration, Paintings for Living Room, Scenery for Home Decor (...",3.5,44,1399,2499
Tdas Artificial Plants with Pot Leaves Hanging Ivy Garlands Plant Greenery Vine Creeper Home Decor Door Wall Balcony Decor...,4,21,681,999
"RHD /Metal Wall Decoration Gingo/Wall Hanging Wall Arts/wall hanging decorative item for Home, restaurant, living room, di...",4,70,2800,5999
JH Gallery Recycled Material Rajasthani Musician Bawla Puppets Idol (7x28 cm Multicolor) -5 Piece (Male Puppets),3.9,49,312,899
"Luxantra Essential Anti Bacterial Aroma Oil for Home Electric and Tlight Diffuser | Home Fragrance | Jasmine, Lavender and...",3.7,25,298,1125
Anciently 100% Natural Unpolished Karungali Vel Small | Karungali Vel Original - 3 Inches Height Natural Black 1 Piece,4.7,63,445,900
REGLET ® 1000 pcs. Multicolour Polymer Gel Magic Crystal Water Beads Jelly Ball for Toy Gun| Jelly Beads | Water Ball Kids...,3.4,8,185,499
"CrazyCrafts Metal Motor Bike Miniature Showpiece, Large, Silver",4.5,330,596,768
Puja N Pujari Brass Aarti Lamp/Dhoop Stand with Wooden Handle (Golden),3.7,376,249,299
"Painting Mantra Floral Canvas Painting for Wall With Frame , Blue Floral Painting for living room Size : 13x13 Inches",4.2,657,799,1999
